Country,Quality of dataa,"± error, %",min ,mean,max,"Percentage of total Hg
applied in concentrate
amalgamation, %CA","Percentage of total Hg applied in whole ore amalgamation, %WOA","Emission Factor, EF EFCA=75% (1/1.3) EFWOA= 20% (1/5)","Year of most
recent data","Mean air emission, t","Release to
water and
land, t"
Bolivia,4,30,84,120,156,25,75,0.34,2012,40.5,79.5
Guinea,4,30,13.4,19.1,24.8,100,0,0.75,2017,14.3,4.8
Nicaragua,4,30,2.5,3.5,4.6,0,100,0.2,1999,0.7,2.8
Peru,4,50,163.5,327,490.5,25,75,0.34,2017,110.4,216.6
Senegal,4,30,2.1,3,3.9,100,0,0.75,2015,2.3,0.8
Suriname,4,30,44.1,63,81.9,5,95,0.23,2016,14.3,48.7
Brazil,3,50,52.5,105,157.5,50,50,0.48,2015,49.9,55.1
Burkina Faso,3,50,17.6,35.1,52.7,100,0,0.75,2011,26.3,8.8
Cambodia,3,50,3.8,7.5,11.3,50,50,0.48,2006,3.6,3.9
Colombia,3,50,87.5,175,262.5,16.7,83.3,0.29,2014,51,124
Ecuador,3,50,42.5,85,127.5,20,80,0.31,2014,26.4,58.7
French Guiana,3,50,3.8,7.5,11.3,100,0,0.75,2008,5.6,1.9
Ghana,3,50,27.5,55,82.5,100,0,0.75,2016,41.3,13.8
Guyana,3,50,7.5,15,22.5,100,0,0.75,2008,11.3,3.8
Honduras,3,50,2.5,5,7.5,50,50,0.48,1999,2.4,2.6
India,3,50,3,6,9,100,0,0.75,2013,4.5,1.5
Indonesia,3,50,213.5,427,640.5,16.7,83.3,0.29,2014,124.5,302.5
 Lao People's Democratic Republic,3,50,1.5,3,4.5,100,0,0.75,2007,2.3,0.8
Mali,3,50,6.3,12.5,18.8,100,0,0.75,2016,9.4,3.1
Mongolia,3,50,5.8,11.5,17.3,50,50,0.48,2007,5.5,6
Mozambique,3,50,2,4,6,100,0,0.75,2009,3,1
Nigeria,3,50,10,20,30,100,0,0.75,2011,15,5
Philippines,3,50,35,70,105,25,75,0.34,2010,23.6,46.4
Sierra Leone,3,50,5.5,11,16.5,100,0,0.75,2004,8.3,2.8
Venezuela,3,50,51,102,153,25,75,0.34,2017,34.4,67.6
Zimbabwe,3,50,12.5,25,37.5,20,80,0.31,2016,7.8,17.3
Botswana,2,75,0.2,0.8,1.4,50,50,0.48,2016,0.4,0.4
Cameroon,2,75,0.4,1.5,2.6,100,0,0.75,2011,1.1,0.4
Central African Republic,2,75,2,8,14,100,0,0.75,2016,6,2
Chile,2,75,1,4,7,50,50,0.48,2009,1.9,2.1
China,2,75,25,100,175,25,75,0.34,2015,33.8,66.3
Congo,2,75,0.4,1.5,2.6,100,0,0.75,2010,1.1,0.4
Democratic Republic of Congo,2,75,3.8,15,26.3,100,0,0.75,2010,11.3,3.8
Guatemala,2,75,0.4,1.5,2.6,50,50,0.48,2005,0.7,0.8
Kenya,2,75,0.9,3.5,6.1,100,0,0.75,2016,2.6,0.9
Kyrgyzstan,2,75,1.9,7.5,13.1,50,50,0.48,2004,3.6,3.9
Madagascar,2,75,0.4,1.5,2.6,100,0,0.75,2003,1.1,0.4
Malaysia,2,75,0.9,3.5,6.1,50,50,0.48,1992,1.7,1.8
Mexico,2,75,1.9,7.5,13.1,50,50,0.48,2003,3.6,3.9
Myanmar,2,75,3.8,15,26.3,100,0,0.75,2016,11.3,3.8
Panama,2,75,0.4,1.5,2.6,50,50,0.48,1999,0.7,0.8
Papua New Guinea,2,75,1.8,7,12.3,50,50,0.48,2010,3.3,3.7
 Russian Federation,2,75,2.8,11,19.3,50,50,0.48,2001,5.2,5.8
South Africa,2,75,0.9,3.5,6.1,50,50,0.48,2016,1.7,1.8
Sudan,2,75,20.8,83,145.3,100,0,0.75,2015,62.3,20.8
Tajikistan,2,75,1,4,7,100,0,0.75,1996,3,1
Tanzania,2,75,8.8,35,61.3,100,0,0.75,2015,26.3,8.8
Thailand,2,75,0.4,1.5,2.6,100,0,0.75,2007,1.1,0.4
Togo,2,75,1,4,7,100,0,0.75,2002,3,1
Uganda,2,75,1,4,7,100,0,0.75,2016,3,1
 Viet Nam,2,75,1.9,7.5,13.1,50,50,0.48,2001,3.6,3.9
Angola,1,100,0.1,0.3,0.5,100,0,0.75,2014,0.2,0.1
Azerbaijan,1,100,0.1,0.3,0.5,100,0,0.75,2010,0.2,0.1
Benin,1,100,0.1,0.3,0.5,100,0,0.75,2010,0.2,0.1
Burundi,1,100,0.1,0.3,0.5,100,0,0.75,2010,0.2,0.1
Chad,1,100,0.1,0.3,0.5,100,0,0.75,2010,0.2,0.1
Costa Rica,1,100,0.1,0.3,0.5,50,50,0.48,1998,0.1,0.2
 Côte d'Ivoire,1,100,0.1,0.3,0.5,100,0,0.75,2012,0.2,0.1
 Dominican Republic,1,100,0.1,0.3,0.5,100,0,0.75,1997,0.2,0.1
El Salvador,1,100,0.1,0.3,0.5,100,0,0.75,2010,0.2,0.1
 Equatorial Guinea,1,100,0.1,0.3,0.5,100,0,0.75,2010,0.2,0.1
Eritrea,1,100,0.1,0.3,0.5,100,0,0.75,2017,0.2,0.1
Ethiopia,1,100,0.1,0.3,0.5,100,0,0.75,2010,0.2,0.1
Gabon,1,100,0.1,0.3,0.5,100,0,0.75,2010,0.2,0.1
Gambia,1,100,0.1,0.3,0.5,100,0,0.75,1996,0.2,0.1
Guinea-Bissau,1,100,0.1,0.3,0.5,100,0,0.75,2002,0.2,0.1
Iran (Islamic Republic of),1,100,0.1,0.3,0.5,100,0,0.75,,0.2,0.1
Kazakhstan,1,100,0.1,0.3,0.5,100,0,0.75,,0.2,0.1
Lesotho,1,100,0.1,0.3,0.5,100,0,0.75,2016,0.2,0.1
Liberia,1,100,0.1,0.3,0.5,100,0,0.75,2003,0.2,0.1
Malawi,1,100,0.1,0.3,0.5,100,0,0.75,2001,0.2,0.1
Mauritania,1,100,0.1,0.3,0.5,100,0,0.75,2004,0.2,0.1
Niger,1,100,0.1,0.3,0.5,100,0,0.75,2000,0.2,0.1
Paraguay,1,100,0.1,0.3,0.5,100,0,0.75,2012,0.2,0.1
Rwanda,1,100,0.1,0.3,0.5,100,0,0.75,1992,0.2,0.1
Eswatini,1,100,0.1,0.3,0.5,100,0,0.75,2017,0.2,0.1
Ukraine,1,100,0.1,0.3,0.5,100,0,0.75,,0.2,0.1
Uzbekistan,1,100,0.1,0.3,0.5,100,0,0.75,2001,0.2,0.1
Zambia,1,100,0.1,0.3,0.5,100,0,0.75,2008,0.2,0.1